attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
51.1,56.38,73.28,4.18,2,3,1.58,Manager,41.83
75.71,76.88,31.76,7.07,3,3,2.72,Manager,84.6
79.35,73.86,34.74,7.51,10,3,3.0,Manager,100.0
91.93,86.67,5.31,9.63,3,5,4.59,Employee,100.0
58.73,46.47,67.89,4.66,14,3,1.93,Employee,69.98
88.1,92.53,27.37,8.3,7,5,4.19,Manager,100.0
88.68,90.64,3.58,9.17,10,5,4.27,HR,100.0
79.93,68.11,57.18,7.68,9,3,3.21,HR,95.4
72.87,75.66,33.39,6.29,14,4,3.46,Team Lead,100.0
70.44,79.19,41.4,7.31,10,2,2.87,Employee,99.97
88.63,93.76,26.31,9.54,9,5,4.64,Employee,100.0
51.9,48.24,78.82,4.96,7,3,1.99,Employee,54.45
93.21,85.45,28.54,9.59,4,1,4.18,Team Lead,100.0
72.69,68.35,38.43,6.02,10,5,3.88,Team Lead,90.47
95.02,97.52,12.38,9.94,6,4,4.41,Manager,100.0
75.5,69.21,45.32,6.33,10,2,3.46,Manager,95.51
92.83,94.9,17.16,8.09,1,2,4.52,Employee,100.0
72.84,73.55,58.04,6.69,14,3,2.78,Employee,98.01
89.42,87.84,5.02,9.13,13,4,4.6,HR,100.0
51.99,54.36,84.42,4.2,3,1,1.5,HR,44.93
94.2,97.4,8.09,9.3,8,3,4.01,Employee,100.0
81.63,76.98,36.41,6.55,2,5,3.4,Manager,79.97
94.98,89.62,2.0,9.26,6,3,4.67,HR,100.0
65.61,51.97,70.09,5.82,8,4,1.68,Manager,63.5
81.74,67.64,58.21,7.37,8,3,2.78,Team Lead,89.82
96.95,91.81,2.91,9.1,5,4,4.7,HR,100.0
58.65,47.83,80.34,4.49,11,3,2.36,Manager,63.21
61.87,56.61,88.11,5.63,3,3,1.47,Team Lead,50.3
64.54,50.76,64.61,4.9,8,2,2.12,Manager,65.55
67.38,61.9,79.68,4.08,1,2,2.4,Manager,49.85
60.62,54.78,60.74,4.99,2,4,1.9,Employee,49.9
74.45,79.64,31.59,7.99,11,1,3.86,Manager,100.0
60.41,47.75,68.86,4.49,1,4,1.76,Team Lead,40.89
52.57,46.85,80.76,4.09,1,5,1.48,HR,30.93
55.43,57.29,82.36,5.78,14,2,2.1,Manager,77.97
91.73,87.74,3.8,9.57,14,3,4.24,Team Lead,100.0
61.6,45.44,80.33,4.93,7,3,2.1,Manager,56.12
74.7,71.81,32.63,6.59,6,4,3.32,HR,87.24
56.66,59.98,72.91,5.15,12,5,1.81,Team Lead,66.41
63.09,59.04,77.08,5.16,14,2,1.9,HR,77.35
76.55,71.55,45.56,6.27,9,3,3.61,Team Lead,92.92
63.36,55.56,71.83,4.82,11,2,2.09,Team Lead,70.71
61.48,53.0,63.09,4.48,1,2,1.73,Team Lead,47.67
51.36,40.15,84.95,4.2,9,2,1.12,Team Lead,48.53
54.63,44.24,88.23,4.29,8,5,2.43,Employee,48.88
63.63,43.0,73.41,5.29,3,1,1.71,Employee,53.14
72.23,68.97,36.53,7.43,5,5,2.74,HR,82.26
89.8,90.06,6.21,8.47,7,1,4.43,Manager,100.0
74.55,75.7,58.87,7.47,2,1,3.86,Manager,88.26
85.13,85.88,25.49,8.68,6,3,4.18,Team Lead,100.0
88.15,93.87,20.94,9.22,4,1,4.29,Team Lead,100.0
89.67,85.33,17.64,8.7,10,3,4.06,Manager,100.0
69.52,43.0,88.83,4.14,4,3,1.72,Employee,43.8
62.63,43.9,65.9,4.41,4,2,2.36,Employee,53.53
75.72,71.58,49.3,7.84,5,4,3.88,HR,91.14
76.7,70.37,58.94,6.5,14,1,2.91,HR,100.0
62.66,58.11,70.59,5.75,14,2,2.11,Manager,82.28
87.5,97.08,2.85,8.82,4,2,4.75,Manager,100.0
63.52,49.25,87.93,5.25,11,2,1.38,Manager,64.23
59.66,49.56,64.43,4.57,12,1,2.49,Employee,74.18
68.51,41.02,79.65,4.63,6,2,1.84,HR,53.84
96.64,86.88,7.98,8.07,11,3,4.76,Manager,100.0
68.12,40.45,66.28,4.53,6,4,1.55,HR,50.33
59.67,62.08,73.33,5.98,14,5,1.27,Manager,73.1
86.02,99.14,0.23,9.3,5,2,4.13,HR,100.0
91.32,89.38,28.43,8.66,4,2,4.94,Team Lead,100.0
96.75,82.83,27.98,8.25,11,2,4.6,Employee,100.0
54.69,40.95,61.82,4.77,4,4,1.25,HR,43.7
77.93,69.65,31.43,6.77,9,3,2.68,Manager,93.38
86.09,83.59,8.21,9.52,14,1,4.44,Manager,100.0
89.03,99.69,25.63,9.86,4,5,4.79,Manager,100.0
98.73,93.31,10.29,9.9,9,5,4.93,HR,100.0
61.04,63.57,74.92,4.05,9,1,1.85,Team Lead,64.87
53.18,57.38,63.45,5.92,11,1,1.61,HR,75.47
65.72,56.03,61.4,5.58,4,4,1.34,Manager,55.54
73.47,77.73,41.92,6.49,4,1,3.72,Employee,90.35
62.68,63.27,67.13,5.41,10,3,1.3,Employee,68.79
78.79,70.92,34.94,6.52,14,3,3.19,Manager,100.0
55.1,56.88,70.11,5.21,5,2,1.31,Manager,55.4
87.78,81.06,29.7,9.47,12,4,4.93,Team Lead,100.0
67.28,42.4,70.98,5.87,11,1,1.02,Team Lead,69.77
81.88,79.68,36.65,7.85,10,2,3.96,Team Lead,100.0
82.89,77.34,30.31,7.66,5,5,2.84,HR,90.34
85.05,80.77,17.13,9.06,6,2,4.58,Employee,100.0
52.52,41.95,66.32,5.72,13,1,2.4,Team Lead,77.06
94.64,88.37,0.75,9.91,4,3,4.07,Team Lead,100.0
72.29,76.2,45.45,7.15,12,3,3.93,HR,100.0
61.59,58.98,62.97,5.78,11,1,1.02,HR,74.49
52.37,63.21,65.54,5.42,2,1,1.21,HR,54.1
75.7,77.23,44.66,7.63,2,3,2.98,Employee,84.2
85.97,90.48,27.26,8.8,8,5,4.2,Team Lead,100.0
97.51,81.9,16.09,9.67,7,3,4.4,Manager,100.0
89.93,82.81,23.78,9.44,9,3,4.29,Team Lead,100.0
90.56,80.33,1.0,8.83,4,1,4.08,HR,100.0
85.04,80.64,25.01,8.51,5,5,4.08,HR,100.0
69.98,44.62,85.59,4.46,14,3,1.48,Employee,65.45
64.33,42.51,78.74,4.23,9,1,1.38,Employee,57.13
85.28,95.84,5.03,9.84,13,1,4.43,HR,100.0
87.96,91.21,2.84,9.52,5,5,4.72,Employee,100.0
94.58,95.18,21.72,9.27,2,1,4.98,Team Lead,100.0
81.79,73.34,55.71,6.47,7,2,3.71,HR,92.18
97.36,89.55,7.97,8.13,7,4,4.28,HR,100.0
83.67,78.29,49.94,7.73,7,1,3.82,HR,100.0
51.96,57.44,87.01,4.05,6,5,1.83,HR,44.22
95.67,82.37,28.3,8.68,13,4,4.52,Manager,100.0
73.2,69.83,52.98,6.39,9,4,3.51,Manager,88.2
94.86,83.76,3.35,9.32,11,5,4.68,Team Lead,100.0
85.57,92.87,7.88,8.1,1,3,4.23,Employee,100.0
77.67,79.88,46.17,6.14,11,4,2.98,Manager,93.79
96.14,88.62,18.16,8.48,7,5,4.85,Team Lead,100.0
91.91,88.44,29.9,9.54,5,4,4.93,Employee,100.0
84.74,70.17,55.8,7.73,10,5,2.97,Manager,94.58
53.99,43.81,69.5,5.73,14,3,1.53,Team Lead,71.04
58.03,41.08,62.44,4.57,1,4,1.53,Manager,38.84
72.42,78.52,35.38,6.35,8,4,3.38,Manager,91.21
50.35,61.98,61.04,4.82,4,4,1.77,Employee,51.9
74.86,79.96,50.72,7.3,2,1,2.73,Team Lead,84.69
76.28,67.5,45.35,6.21,7,2,3.85,Employee,90.56
64.56,43.49,82.21,4.75,9,4,2.49,Team Lead,58.94
64.82,47.67,69.53,5.55,1,3,1.86,Team Lead,49.62
69.01,60.3,62.38,4.5,6,2,1.15,Team Lead,59.15
68.84,47.46,83.27,4.79,14,4,1.21,Employee,64.77
51.62,60.65,79.56,5.2,7,3,1.87,HR,58.53
77.98,69.11,41.63,7.61,1,2,2.75,Employee,81.72
60.21,47.63,70.36,4.91,7,2,1.74,HR,58.5
84.51,75.4,38.07,6.57,3,4,3.73,Employee,85.67
78.94,67.17,38.63,6.07,14,2,3.09,HR,100.0
66.7,58.46,71.45,5.87,9,3,1.52,Employee,68.87
75.47,74.74,48.35,7.38,12,3,2.56,Manager,99.28
90.74,96.97,5.26,9.56,2,3,4.87,HR,100.0
61.98,55.99,84.04,5.4,13,5,2.27,HR,69.83
87.73,97.98,9.95,9.16,10,5,4.01,Manager,100.0
91.87,88.88,21.26,8.55,13,4,4.84,Manager,100.0
77.63,69.44,33.52,6.44,2,3,2.58,HR,76.67
95.56,85.78,15.84,9.29,9,1,4.31,Manager,100.0
53.78,51.74,81.61,5.06,10,5,1.59,Team Lead,55.9
92.56,80.52,25.4,9.91,9,5,4.87,HR,100.0
83.24,69.77,47.01,6.37,1,5,3.6,Manager,74.19
98.34,89.3,12.47,8.41,4,4,4.2,Team Lead,100.0
76.36,70.1,53.52,7.61,11,4,3.19,Team Lead,97.38
99.57,88.76,25.83,9.13,3,1,4.16,Employee,100.0
85.01,93.94,4.27,9.01,8,4,4.37,Manager,100.0
82.8,78.99,54.31,7.25,6,2,3.01,Team Lead,92.85
91.11,89.21,1.08,9.85,1,3,4.03,Manager,100.0
98.1,90.18,20.07,9.9,1,1,4.54,Team Lead,100.0
85.43,82.28,27.75,8.16,7,5,4.29,HR,100.0
64.89,53.01,66.75,4.58,1,3,1.84,Employee,46.85
96.59,83.36,2.49,8.85,11,5,4.4,HR,100.0
67.83,58.68,81.46,5.54,8,2,1.76,Employee,66.73
71.54,69.87,48.52,6.63,1,3,3.12,Employee,73.91
51.41,59.68,82.02,4.56,10,2,1.37,Team Lead,60.0
51.77,54.32,71.93,4.59,10,4,1.47,Employee,57.16
94.39,92.01,10.09,8.65,4,1,4.87,Employee,100.0
99.35,93.9,11.28,9.39,7,5,4.82,Team Lead,100.0
90.08,91.04,23.11,8.24,2,3,4.35,HR,100.0
68.51,56.02,66.08,5.59,14,3,1.2,Manager,76.68
77.25,65.71,45.88,7.95,2,1,3.89,Employee,91.04
75.44,76.23,39.94,7.49,2,5,3.58,Employee,83.09
74.2,67.63,31.62,7.08,4,5,2.87,Employee,80.27
65.93,61.54,85.38,4.63,14,5,1.76,Team Lead,67.79
63.01,58.92,82.49,5.02,1,4,2.22,HR,47.11
71.39,70.99,42.57,7.03,7,4,3.56,Manager,89.59
71.5,78.65,44.18,7.86,9,1,3.44,Employee,100.0
88.61,85.78,19.31,8.97,2,5,4.38,Manager,100.0
81.52,70.99,55.27,6.62,9,5,2.87,Team Lead,86.07
91.81,92.74,13.04,9.59,10,3,4.08,Employee,100.0
78.78,73.36,37.7,6.55,8,1,3.45,Manager,98.16
74.9,76.72,38.96,7.96,13,2,3.08,Manager,100.0
58.39,64.67,66.06,5.83,13,5,1.18,Manager,71.81
97.65,87.11,12.57,9.66,4,2,4.09,Team Lead,100.0
54.79,56.64,65.62,4.44,12,2,2.0,Manager,69.77
67.05,45.64,71.31,4.92,5,2,1.72,Team Lead,55.42
92.98,94.94,12.37,9.34,14,2,4.49,Team Lead,100.0
74.39,77.1,58.39,6.74,9,4,3.75,Employee,92.51
91.25,82.41,29.24,8.2,5,5,4.88,Manager,100.0
58.84,58.57,76.41,4.51,1,5,2.01,Employee,41.6
73.62,72.37,48.9,6.02,1,5,2.61,Team Lead,65.48
86.31,94.4,22.72,8.35,11,1,4.09,HR,100.0
96.96,83.08,18.75,8.68,12,2,4.13,Employee,100.0
53.41,57.76,84.97,5.45,7,5,2.46,Employee,57.25
94.51,83.62,3.67,8.38,4,1,4.28,Employee,100.0
55.97,52.28,87.84,4.92,1,2,1.71,Employee,43.26
55.31,43.43,78.48,4.93,11,1,1.47,HR,63.16
62.28,54.06,82.52,5.56,1,2,1.32,Employee,47.72
69.83,51.87,73.69,5.15,12,3,2.4,HR,74.05
83.68,66.32,35.84,7.32,1,3,3.91,Team Lead,85.81
70.04,76.93,40.61,6.13,3,1,2.94,Team Lead,81.82
63.74,59.98,67.5,4.93,1,1,1.33,Team Lead,51.71
50.16,63.5,63.26,4.54,1,5,2.33,HR,45.29
91.37,86.28,5.07,8.83,14,1,4.73,Team Lead,100.0
86.0,81.86,19.72,9.49,6,4,4.1,Manager,100.0
83.93,69.54,50.84,7.33,10,4,2.8,Employee,94.33
95.83,95.47,8.23,8.53,2,4,4.99,Team Lead,100.0
78.84,67.15,51.64,7.08,7,2,2.88,Team Lead,89.35
51.65,61.92,76.55,4.33,6,1,1.62,HR,55.91
77.11,68.43,46.29,7.63,2,1,3.06,HR,86.01
68.92,54.58,71.72,4.09,9,1,1.54,Employee,63.42
82.18,68.18,57.05,6.14,5,5,3.85,Employee,79.55
82.89,80.0,59.58,7.7,9,1,2.74,Employee,100.0
63.16,58.25,83.58,4.18,1,3,1.87,Team Lead,42.82
53.32,52.7,62.11,5.54,6,1,2.31,Manager,65.97
98.47,81.7,1.59,9.92,14,1,4.2,HR,100.0
62.18,61.35,80.79,5.36,7,1,1.44,HR,63.79
77.42,65.04,54.79,7.47,9,1,3.94,HR,100.0
88.2,89.82,6.7,8.71,12,2,4.64,Team Lead,100.0
98.73,94.08,1.66,8.61,12,5,4.93,Team Lead,100.0
97.06,98.69,23.62,8.68,5,1,4.18,HR,100.0
74.93,68.29,55.95,6.24,5,4,3.65,HR,79.49
83.22,73.49,38.04,6.44,3,2,3.29,HR,85.9
84.98,79.4,34.74,7.31,12,1,2.84,Team Lead,100.0
90.79,94.05,20.14,8.35,9,4,4.15,HR,100.0
51.66,44.04,66.48,5.28,10,3,1.6,Manager,61.27
71.81,74.26,41.39,6.74,6,3,3.84,HR,90.86
79.81,67.4,43.45,6.45,4,4,3.32,Team Lead,80.3
77.84,66.87,42.79,7.87,5,4,2.86,Manager,86.58
57.96,44.12,61.58,5.64,14,1,1.33,Manager,76.27
82.26,73.84,34.92,6.45,1,1,2.73,Employee,81.67
94.71,83.83,20.02,8.13,2,2,4.66,HR,100.0
86.48,89.88,24.19,8.84,8,4,4.24,Team Lead,100.0
97.22,90.15,26.05,8.93,13,4,4.21,Team Lead,100.0
98.06,89.68,20.72,8.83,7,2,4.36,Team Lead,100.0
50.27,62.01,76.34,5.08,6,2,2.18,Employee,60.16
54.02,55.42,76.99,5.78,3,2,1.78,HR,54.53
94.87,98.01,9.53,8.3,8,4,4.3,Team Lead,100.0
54.85,55.75,60.24,5.69,9,3,2.35,Employee,70.59
54.8,45.27,89.31,5.19,5,2,1.75,Manager,50.08
97.88,83.03,29.51,9.37,13,1,4.3,Team Lead,100.0
85.68,82.68,6.46,9.2,8,1,4.9,Team Lead,100.0
99.18,98.73,5.88,8.77,8,1,4.59,Employee,100.0
56.76,64.19,63.05,5.0,12,2,1.64,Manager,74.03
96.28,96.7,3.3,8.98,4,5,4.91,Employee,100.0
82.56,69.59,44.31,6.06,13,4,2.93,HR,95.62
51.02,44.97,78.56,5.42,14,3,2.06,HR,69.94
66.74,56.38,89.97,4.49,1,5,2.38,Manager,41.93
85.26,97.33,23.77,8.49,14,5,4.96,Employee,100.0
92.81,99.3,20.93,9.99,13,4,4.83,Team Lead,100.0
67.32,49.58,76.86,5.9,11,2,1.98,Manager,73.7
94.98,80.01,24.37,9.06,14,2,4.11,Manager,100.0
66.17,41.34,89.65,4.83,11,1,1.21,Manager,61.2
80.93,71.62,40.16,6.59,12,4,2.82,Manager,96.71
54.86,61.78,85.24,5.09,9,1,1.4,Manager,63.64
83.73,77.88,43.72,7.79,6,3,3.27,Employee,96.85
72.45,74.22,35.44,7.86,9,4,3.56,Manager,100.0
85.03,95.46,27.95,9.94,13,1,4.36,Manager,100.0
52.88,50.71,63.76,5.96,8,2,2.32,Team Lead,69.06
70.48,78.9,51.65,7.02,13,2,3.92,HR,100.0
83.19,65.18,36.69,6.72,11,5,3.98,Manager,98.51
78.28,65.25,33.2,8.0,14,1,3.51,HR,100.0
84.74,77.52,32.35,7.5,2,4,3.35,Team Lead,88.18
76.62,78.56,51.24,7.53,5,4,3.21,Team Lead,88.17
71.15,78.09,54.84,6.43,5,4,3.71,HR,82.98
82.1,73.31,45.19,6.75,5,4,3.67,Employee,87.57
99.13,81.91,19.81,8.91,3,5,4.84,HR,100.0
94.77,85.18,2.09,8.83,9,3,4.46,Team Lead,100.0
67.26,63.07,74.47,4.85,11,2,1.81,Employee,72.14
91.66,91.59,20.46,9.04,12,5,4.69,Employee,100.0
63.38,42.66,70.44,4.09,2,4,1.9,Team Lead,40.51
57.47,58.51,63.43,4.57,8,4,2.09,Team Lead,60.56
52.92,45.69,63.59,4.82,3,3,2.49,Employee,50.74
98.67,97.28,22.83,8.23,4,3,4.56,HR,100.0
87.92,81.84,8.1,9.0,10,2,4.14,Manager,100.0
99.34,83.48,24.24,9.08,7,4,4.92,Team Lead,100.0
88.8,86.24,0.17,9.49,6,5,4.67,Manager,100.0
72.18,73.74,30.91,7.25,13,1,3.8,Team Lead,100.0
98.21,86.87,24.29,8.03,13,4,4.44,Manager,100.0
55.42,46.0,74.96,5.51,3,2,1.97,HR,52.07
76.75,76.16,44.01,6.46,2,3,2.8,Employee,77.51
74.9,67.59,48.04,7.42,10,2,2.98,Team Lead,97.39
72.15,74.02,49.44,6.37,9,4,3.9,Team Lead,91.7
51.48,44.31,71.01,4.35,6,3,1.29,Manager,46.17
90.58,94.41,16.64,8.85,6,5,4.57,Team Lead,100.0
95.61,96.12,18.5,9.18,13,4,4.41,Manager,100.0
81.31,72.0,36.38,6.98,14,1,3.66,Employee,100.0
58.4,54.89,81.23,5.28,1,4,2.43,Team Lead,47.34
85.95,87.51,26.58,9.41,11,3,4.42,Manager,100.0
65.19,50.46,85.02,4.19,14,4,1.67,Team Lead,63.71
59.93,46.16,75.06,4.14,13,3,1.28,HR,60.9
86.96,99.88,8.53,9.44,1,3,4.22,Team Lead,100.0
65.24,48.27,75.09,4.77,6,1,1.2,Manager,55.64
74.45,69.87,43.16,6.43,13,3,3.71,HR,100.0
78.64,70.38,47.57,7.47,10,4,2.78,Employee,94.51
55.06,58.01,83.8,4.74,13,1,2.19,Employee,73.05
57.71,52.67,85.68,5.5,12,2,2.21,HR,71.63
56.61,51.2,70.39,4.68,5,4,2.21,Manager,51.88
70.8,71.16,48.84,7.25,14,4,3.06,Team Lead,100.0
84.15,68.53,41.25,7.47,10,1,2.81,Team Lead,100.0
74.2,79.99,55.87,6.45,12,3,3.61,Employee,99.7
78.1,78.21,53.15,7.12,7,1,3.67,Team Lead,98.29
81.61,66.79,31.9,6.97,12,3,2.95,Manager,100.0
67.77,49.57,79.63,4.7,13,3,2.49,HR,71.85
58.96,45.31,89.85,4.68,1,5,1.65,Team Lead,33.99
64.37,51.82,67.84,4.11,10,3,1.07,HR,57.97
72.44,75.33,32.36,7.09,4,1,3.66,HR,94.0
91.62,82.9,19.6,9.18,4,2,4.43,Manager,100.0
51.81,59.29,81.45,5.53,12,4,1.24,Employee,64.34
83.67,77.75,53.19,7.75,7,3,2.9,Manager,94.85
71.3,70.6,42.71,6.21,9,3,3.14,Employee,89.18
88.55,86.99,29.02,8.63,10,4,4.62,Team Lead,100.0
79.95,68.07,42.47,7.08,9,2,3.37,HR,98.15
51.93,52.43,72.91,4.35,7,4,1.27,Employee,48.24
89.19,95.26,3.62,9.53,7,5,4.44,Employee,100.0
93.06,89.72,17.94,9.86,11,3,4.65,Employee,100.0
58.13,43.69,65.41,4.58,6,1,2.25,Employee,58.69
76.89,79.16,41.7,6.69,11,2,3.38,Team Lead,100.0
85.03,88.29,15.49,8.14,3,5,4.15,Employee,100.0
70.72,65.01,45.06,6.23,3,2,3.81,Manager,80.39
62.76,60.96,89.67,4.83,14,1,2.19,Team Lead,77.17
59.45,60.87,60.32,4.21,5,4,2.21,Team Lead,55.16
98.52,86.52,16.76,9.55,8,2,4.25,Employee,100.0
73.58,76.16,45.52,7.41,6,2,3.97,HR,97.03
89.83,96.87,5.42,8.37,8,2,4.17,HR,100.0
59.66,46.63,76.72,5.15,4,2,1.64,Manager,51.52
77.85,75.5,42.33,7.12,8,3,3.91,Employee,98.82
83.38,71.72,35.34,6.48,2,2,3.77,HR,86.55
96.11,96.65,22.52,8.29,7,3,4.62,Manager,100.0
77.34,67.61,37.83,7.11,1,2,2.67,Manager,78.94
66.47,55.21,89.3,4.68,2,5,1.71,Employee,41.24
61.91,45.15,89.53,5.26,7,3,2.23,Employee,56.52
54.87,56.29,84.32,5.23,10,5,2.29,HR,61.33
57.92,64.1,76.17,4.58,10,5,1.18,Manager,57.26
98.12,84.54,3.42,8.51,4,2,4.77,Manager,100.0
90.66,99.74,10.41,8.01,1,1,4.22,Team Lead,100.0
91.93,98.71,11.76,8.81,9,1,4.65,Employee,100.0
65.37,61.27,83.48,4.3,7,4,1.5,Manager,53.04
98.29,80.7,23.79,8.15,6,5,4.58,HR,100.0
70.76,75.03,35.59,7.85,11,3,3.76,Team Lead,100.0
71.07,65.6,39.61,7.11,12,3,3.32,Manager,99.69
84.43,75.76,49.67,7.64,4,4,2.71,Manager,85.63
90.39,80.61,8.43,8.9,13,5,4.26,Manager,100.0
77.75,69.09,58.62,7.92,3,3,2.75,HR,81.77
98.31,81.92,20.3,8.86,12,2,4.79,HR,100.0
93.36,95.96,12.64,8.33,9,1,4.03,Employee,100.0
86.16,90.85,25.85,9.18,3,3,4.23,Team Lead,100.0
95.93,88.22,15.07,9.67,4,1,4.08,Employee,100.0
83.01,68.47,46.63,6.43,6,4,3.41,Team Lead,85.15
77.52,65.35,40.66,7.48,4,5,3.27,Team Lead,82.58
80.01,78.99,48.61,6.73,3,5,3.35,HR,80.37
56.07,49.29,73.93,5.16,8,1,2.18,HR,64.73
64.81,43.39,79.6,4.12,3,1,1.5,Employee,45.4
57.65,55.71,73.56,5.17,12,4,2.34,Team Lead,70.01
93.94,88.2,25.15,8.37,1,3,4.55,HR,100.0
50.71,55.1,66.87,5.94,6,2,2.04,HR,63.7
61.7,62.04,76.28,5.56,1,1,2.33,HR,58.24
96.13,90.84,4.65,10.0,8,2,4.89,Manager,100.0
53.19,63.22,80.5,5.31,4,1,1.83,Team Lead,57.89
81.02,73.75,30.7,6.8,10,3,2.58,Team Lead,97.15
92.84,82.23,15.68,8.77,1,4,4.57,HR,100.0
82.38,75.3,40.31,7.06,6,5,3.94,Manager,92.13
66.49,52.19,73.61,5.67,2,5,2.04,Manager,50.07
87.97,97.49,10.58,9.45,13,2,4.32,Team Lead,100.0
63.68,45.89,72.08,5.42,9,2,1.72,Employee,64.99
58.55,61.21,60.23,5.37,9,4,1.33,HR,64.46
67.45,63.1,79.71,4.55,3,1,2.08,Employee,57.0
82.49,78.1,49.59,7.9,14,2,2.83,HR,100.0
69.89,42.76,64.16,5.77,5,1,1.33,Employee,60.95
82.98,67.84,46.68,7.46,2,1,2.94,HR,85.76
53.22,48.06,74.45,4.45,5,5,2.11,HR,45.65
72.33,74.37,31.97,7.29,7,1,3.98,Employee,100.0
71.42,73.16,52.22,7.51,13,2,3.41,Employee,100.0
88.94,91.1,19.34,8.16,8,5,4.13,Employee,100.0
69.15,45.22,80.72,5.84,3,1,1.0,HR,52.93
77.39,71.34,49.77,7.41,7,4,3.56,Team Lead,91.61
55.27,61.24,68.61,5.09,11,3,2.11,Manager,70.46
81.33,75.93,48.83,6.11,2,5,3.85,HR,77.19
95.36,89.22,19.57,8.71,10,1,4.63,Employee,100.0
50.92,43.65,61.36,4.99,11,2,2.24,Employee,67.71
72.25,69.77,53.37,7.65,12,5,2.77,Employee,94.41
58.98,47.12,77.44,4.67,13,2,1.62,Employee,66.82
78.52,74.76,50.89,7.94,9,3,2.71,Team Lead,97.14
86.36,81.53,20.24,9.9,4,3,4.72,HR,100.0
99.04,85.25,2.59,9.59,2,3,4.88,Team Lead,100.0
86.28,83.57,12.13,8.99,4,1,4.97,Employee,100.0
87.95,94.68,0.81,8.58,7,2,4.36,Team Lead,100.0
60.76,63.31,67.86,4.9,7,2,1.43,HR,62.29
77.15,66.76,45.92,7.15,12,2,3.3,HR,100.0
50.01,50.18,61.77,4.38,13,5,1.66,Team Lead,61.4
88.41,82.05,4.88,8.32,3,1,4.94,Employee,100.0
73.97,78.89,40.43,7.66,12,5,3.49,Employee,100.0
88.09,82.43,18.45,9.55,10,2,4.64,HR,100.0
79.19,71.91,41.14,6.02,4,1,3.98,HR,89.18
63.85,59.73,67.7,5.23,5,4,1.87,HR,57.84
76.8,72.25,35.83,7.88,2,3,2.5,Team Lead,83.63
56.86,46.05,71.96,4.04,13,2,2.16,Manager,66.62
83.75,74.46,59.23,7.18,9,3,3.71,Manager,97.88
71.09,75.9,47.82,7.67,7,2,2.78,Employee,93.25
84.09,74.27,56.44,6.26,13,4,3.7,HR,99.81
95.54,98.97,14.64,8.56,6,4,4.07,Manager,100.0
93.01,93.54,5.5,8.94,11,5,4.02,HR,100.0
66.21,60.55,66.91,5.63,6,4,1.55,Team Lead,61.24
66.74,55.56,61.98,5.82,2,4,1.88,HR,55.49
83.47,68.47,44.8,6.24,6,1,3.63,Team Lead,91.78
90.9,86.69,18.7,8.34,12,2,4.94,HR,100.0
77.54,65.77,36.64,6.49,2,1,3.01,HR,81.27
91.78,96.15,8.0,9.28,6,1,4.55,Manager,100.0
97.18,90.15,20.65,8.13,4,2,4.84,Employee,100.0
70.74,77.7,40.43,6.99,8,2,3.36,Team Lead,96.67
73.11,69.34,32.78,7.98,14,5,3.43,Manager,100.0
77.38,77.85,35.8,6.48,10,3,2.59,Employee,94.93
62.93,55.18,62.12,5.94,1,1,1.92,Team Lead,59.2
86.06,80.8,3.65,9.72,8,4,4.38,Employee,100.0
83.3,70.39,54.95,6.89,9,2,3.62,Employee,97.49
67.85,49.46,64.98,4.63,8,2,2.41,Team Lead,66.0
67.47,51.11,81.0,5.27,8,5,1.18,Manager,54.24
71.3,67.27,55.05,7.37,13,3,3.39,HR,100.0
64.79,45.66,65.18,5.77,5,2,1.94,Employee,61.43
85.87,85.88,1.51,8.04,14,4,4.48,Manager,100.0
74.2,73.82,59.66,6.32,8,4,3.49,Team Lead,85.79
84.76,78.65,55.55,6.11,13,4,2.66,Employee,95.48
74.2,76.54,32.1,7.3,2,3,3.29,Manager,86.08
67.21,42.44,76.96,5.22,14,3,1.87,HR,71.59
94.38,99.17,20.33,9.12,12,2,5.0,HR,100.0
92.64,81.84,9.95,9.12,8,5,4.24,Team Lead,100.0
81.32,65.28,34.99,6.95,6,2,3.49,Team Lead,93.09
95.89,81.44,19.88,8.02,5,3,4.05,Team Lead,100.0
93.8,99.69,17.06,9.83,5,5,4.79,Team Lead,100.0
58.21,41.29,67.71,5.33,5,3,1.6,HR,52.01
89.42,85.61,6.31,9.63,3,4,4.86,Manager,100.0
53.83,41.21,65.12,5.71,5,2,2.1,Manager,57.86
87.99,90.18,26.53,9.87,13,3,4.06,Employee,100.0
84.94,69.33,34.48,6.48,10,4,3.9,HR,99.07
51.93,50.67,78.15,5.54,6,3,2.45,Employee,58.5
67.97,41.02,61.3,5.77,12,5,1.19,HR,65.85
83.82,75.96,57.5,6.49,3,4,3.02,Employee,77.78
69.56,57.75,67.61,5.96,14,3,1.15,HR,78.71
94.39,94.01,7.59,9.62,14,4,4.95,Team Lead,100.0
97.69,96.41,26.86,8.05,8,4,4.84,Manager,100.0
64.93,51.83,72.13,4.15,11,5,2.47,Manager,62.45
88.57,97.85,17.61,8.03,4,2,4.35,Employee,100.0
74.35,70.98,55.22,6.88,7,4,2.86,HR,83.51
70.01,65.87,46.59,6.57,9,3,2.79,HR,86.75
59.3,64.0,85.08,5.81,2,4,1.4,Team Lead,49.06
62.4,54.04,80.69,4.99,14,2,2.49,HR,77.09
